classids;subjectid;teacherids;classroomids;day;period
304;EC1116_T;92;93;2;19
304;EC1116_T;92;93;2;20
304;EC1116_TC;92;93;2;21
304;EC1116_TP;92;93;1;1
304;EC1116_TP;92;93;1;2
304;EC1116_TP;92;93;1;3
304;EC1116_TP;92;93;1;4
304;EC1120_L;200;93;1;19
304;EC1120_L;200;93;1;20
304;EC1120_T;200;93;2;15
304;EC1120_T;200;93;2;16
304;EC1120_T;200;93;2;17
304;EC1120_T;200;93;2;18
304;EC1120_TP;200;93;1;17
304;EC1120_TP;200;93;1;18
304;EM1029_OT;296;78;1;13
304;EM1029_OT;296;78;1;14
304;EM1029_T;296;78;1;11
304;EM1029_T;296;78;1;12
304;EM1029_TP;296;78;1;15
304;EM1029_TP;296;78;1;16
304;UET1123_L;216;85;3;5
304;UET1123_L;216;85;3;6
304;UET1123_T;216;85;3;7
304;UET1123_T;216;85;3;8
304;UET1123_TP;216;78;0;10
304;UET1123_TP;216;78;0;11
304;UET1123_TP;216;78;0;12
304;UET1123_TP;216;78;0;13
304;UET1124_L;257;85;3;3
304;UET1124_L;257;85;3;4
304;UET1124_T;257;85;3;1
304;UET1124_T;257;85;3;2
304;UET1124_TP;257;78;0;14
304;UET1124_TP;257;78;0;15
304;UET1124_TP;257;78;0;16
304;UET1124_TP;257;78;0;17
304;UET1125_OT;693;93;2;11
304;UET1125_OT;693;93;2;12
304;UET1125_T;693;95;4;2
304;UET1125_T;693;95;4;3
304;UET1125_T;693;95;4;4
304;UET1125_T;693;95;4;5
304;UET1125_TP;693;93;2;13
304;UET1125_TP;693;93;2;14
305;EC1131_L;204;92;1;11
305;EC1131_L;204;92;1;12
305;EC1131_L;204;92;1;13
305;EC1131_L;204;92;1;14
305;EC1131_T;200;93;4;2
305;EC1131_T;200;93;4;3
305;EC1131_T;200;93;4;4
305;EC1131_T;200;93;4;5
305;EC1195_OT;693;93;2;7
305;EC1195_OT;693;93;2;8
305;EC1195_T;693;93;2;5
305;EC1195_T;693;93;2;6
305;EC1195_TP;693;94;3;11
305;EC1195_TP;693;94;3;12
305;EC1195_TP;693;94;3;13
305;EC1195_TP;693;94;3;14
305;EC1195_TP;693;94;3;15
305;EC1195_TP;693;94;3;16
305;UET1115_OT;296;90;3;5
305;UET1115_OT;296;90;3;6
305;UET1115_T;296;90;3;1
305;UET1115_T;296;90;3;2
305;UET1115_T;296;90;3;3
305;UET1115_T;296;90;3;4
305;UET1115_TP;296;79;0;10
305;UET1115_TP;296;79;0;11
305;UET1115_TP;296;79;0;12
305;UET1115_TP;296;79;0;13
305;UET1116_P;127;79;2;3
305;UET1116_P;127;79;2;4
305;UET1116_T;127;79;2;1
305;UET1116_T;127;79;2;2
305;UET1116_TP;127;78;4;6
305;UET1116_TP;127;78;4;7
305;UET1116_TP;127;78;4;8
305;UET1116_TP;127;78;4;9
305;UET1117_T;257;80;0;2
305;UET1117_T;257;80;0;3
305;UET1117_TP;257;80;0;4
305;UET1117_TP;257;80;0;5
305;UET1117_TP;257;80;0;6
305;UET1117_TP;257;80;0;7
305;UET1114_OT;465;73;0;14
305;UET1114_OT;465;73;0;15
305;UET1114_P;465;73;0;16
305;UET1114_P;465;73;0;17
305;UET1114_P;465;73;0;18
305;UET1114_P;465;73;0;19
305;UET1114_T;465;73;1;7
305;UET1114_T;465;73;1;8
305;UET1114_TP;465;73;1;5
305;UET1114_TP;465;73;1;6
308;EC1163_OT;427;92;0;14
308;EC1163_OT;427;92;0;15
308;EC1163_TP;427;92;0;10
308;EC1163_TP;427;92;0;11
308;EC1163_TP;427;92;0;12
308;EC1163_TP;427;92;0;13
308;MF1014_OT;258;;1;6
308;MF1014_OT;258;;1;7
308;MF1014_OT;258;;1;8
308;MF1014_OT;258;;1;9
308;MF1014_T;258;;2;6
308;MF1014_T;258;;2;7
308;MF1014_TP;258;;4;6
308;MF1014_TP;258;;4;7
308;MF1014_TP;258;;4;8
308;MF1014_TP;258;;4;9
308;UCEE1019_OT;87;81;4;4
308;UCEE1019_OT;87;81;4;5
308;UCEE1019_T;87;81;4;2
308;UCEE1019_T;87;81;4;3
308;UCEE1019_TP;87;83;3;6
308;UCEE1019_TP;87;83;3;7
308;UCEE1019_TP;87;83;3;8
308;UCEE1019_TP;87;83;3;9
308;UET1105_T;548;61;2;2
308;UET1105_T;548;61;2;3
308;UET1105_T;548;61;2;4
308;UET1105_T;548;61;2;5
308;UET1105_TP;548;61;1;2
308;UET1105_TP;548;61;1;3
308;UET1105_TP;548;61;1;4
308;UET1105_TP;548;61;1;5
309;EC1168_TP;290;93;3;1
309;EC1168_TP;290;93;3;2
309;EC1168_TP;290;93;3;3
309;EC1168_TP;290;93;3;4
309;EC1169_L;370;92;4;4
309;EC1169_OT;370;92;4;3
309;EC1169_T;370;92;4;1
309;EC1169_T;370;92;4;2
309;EC1170_L;204;61;2;14
309;EC1170_L;204;61;2;15
309;EC1170_OT;204;61;2;13
309;EC1170_T;204;61;2;11
309;EC1170_T;204;61;2;12
309;EC1170_TC;204;61;0;18
309;EC1170_TP;204;61;0;14
309;EC1170_TP;204;61;0;15
309;EC1170_TP;204;61;0;16
309;EC1170_TP;204;61;0;17
309;UET1101_OT;548;61;1;14
309;UET1101_OT;548;61;1;15
309;UET1101_T;548;61;0;10
309;UET1101_T;548;61;0;11
309;UET1101_T;548;61;0;12
309;UET1101_T;548;61;0;13
309;UET1101_TP;548;61;1;10
309;UET1101_TP;548;61;1;11
309;UET1101_TP;548;61;1;12
309;UET1101_TP;548;61;1;13
309;UET1102_OT;290;61;1;21
309;UET1102_T;290;61;1;16
309;UET1102_T;290;61;1;17
309;UET1102_T;290;61;1;18
309;UET1102_T;290;61;1;19
309;UET1102_T;290;61;1;20
310;EC1174_P;501;92;2;7
310;EC1174_OT;501;92;2;8
310;EC1174_T;501;92;2;5
310;EC1174_T;501;92;2;6
310;EC1180_OT;370;92;4;6
310;EC1180_OT;370;92;4;7
310;EC1180_T;370;92;4;8
310;EC1180_T;370;92;4;9
310;EC1180_TP;370;92;3;14
310;EC1180_TP;370;92;3;15
310;EC1180_TP;370;92;3;16
310;EC1180_TP;370;92;3;17
310;EC1180_TP;370;92;3;18
310;EC1180_TP;370;92;3;19
310;EC1181_P;548;93;0;19
310;EC1181_TP;548;93;0;14
310;EC1181_TP;548;93;0;15
310;EC1181_TP;548;93;0;16
310;EC1181_TP;548;93;0;17
310;EC1181_TP;548;93;0;18
310;EC1182_OT;92;93;1;9
310;EC1182_T;92;93;1;7
310;EC1182_T;92;93;1;8
310;EC1183_L;92;92;3;13
310;EC1183_OT;92;92;3;10
310;EC1183_OT;92;92;3;11
310;EC1183_TP;92;92;3;12
267;MF1007_OT;301;58;2;4
267;MF1007_OT;301;58;2;5
267;MF1007_T;301;58;2;2
267;MF1007_T;301;58;2;3
267;MF1007_TP;301;58;4;6
267;MF1007_TP;301;58;4;7
267;MF1007_TP;301;58;4;8
267;MF1007_TP;301;58;4;9
267;MF1007_TP;301;58;3;2
267;MF1007_TP;301;58;3;3
267;MF1007_TP;301;58;3;4
267;MF1007_TP;301;58;3;5
267;UCEE1022_OT;480;87;1;3
267;UCEE1022_OT;480;87;1;4
267;UCEE1022_TP;480;87;4;2
267;UCEE1022_TP;480;87;4;3
267;UCEE1022_TP;480;87;4;4
267;UCEE1022_TP;480;87;4;5
267;UCEE1022_TP;480;58;2;6
267;UCEE1022_TP;480;58;2;7
267;UCEE1022_TP;480;58;2;8
267;UCEE1022_TP;480;58;2;9
268;MF1007_OT;301;58;3;6
268;MF1007_OT;301;58;3;7
268;MF1007_T;301;58;3;8
268;MF1007_T;301;58;3;9
268;MF1007_TP;301;59;2;6
268;MF1007_TP;301;59;2;7
268;MF1007_TP;301;59;2;8
268;MF1007_TP;301;59;2;9
268;MF1007_TP;301;58;4;2
268;MF1007_TP;301;58;4;3
268;MF1007_TP;301;58;4;4
268;MF1007_TP;301;58;4;5
268;UCEE1022_OT;480;88;1;7
268;UCEE1022_OT;480;88;1;8
268;UCEE1022_TP;480;87;2;2
268;UCEE1022_TP;480;87;2;3
268;UCEE1022_TP;480;87;2;4
268;UCEE1022_TP;480;87;2;5
268;UCEE1022_TP;480;87;4;6
268;UCEE1022_TP;480;87;4;7
268;UCEE1022_TP;480;87;4;8
268;UCEE1022_TP;480;87;4;9
269;INF1035_OT;704;62;1;14
269;INF1035_OT;704;62;1;15
269;INF1035_P;704;62;0;10
269;INF1035_P;704;62;0;11
269;INF1035_P;704;62;0;12
269;INF1035_P;704;62;0;13
269;INF1035_T;704;62;1;16
269;INF1035_T;704;62;1;17
269;INF1056_OT;415;69;4;11
269;INF1056_OT;415;69;4;12
269;INF1056_OT;415;69;4;13
269;INF1056_OT;415;69;4;14
269;INF1056_TP;415;69;2;11
269;INF1056_TP;415;69;2;12
269;INF1056_TP;415;69;2;13
269;INF1056_TP;415;69;2;14
269;INF1056_TP;415;69;2;15
269;INF1056_TP;415;69;2;16
269;INF1058_OT;514;71;0;18
269;INF1058_OT;514;71;0;19
269;MF1045_TP;276;87;1;10
269;MF1045_TP;276;87;1;11
269;MF1045_TP;276;87;1;12
269;MF1045_TP;276;87;1;13
269;MF1045_TP;276;87;0;14
269;MF1045_TP;276;87;0;15
269;MF1045_TP;276;87;0;16
269;MF1045_TP;276;87;0;17
269,270;INF1007_OT;256;64,90;1;18
269,270;INF1007_OT;256;64,90;1;19
269,270;INF1007_OT;256;64,90;1;20
269,270;INF1007_OT;256;64,90;1;21
269;INF1017_TP;256;64,90;4;15
269;INF1017_TP;256;64,90;4;16
269;INF1017_TP;256;64,90;4;17
269;INF1017_TP;256;64,90;4;18
270;INF1035_OT;704;62;0;16
270;INF1035_OT;704;62;0;17
270;INF1035_P;704;62;1;10
270;INF1035_P;704;62;1;11
270;INF1035_P;704;62;1;12
270;INF1035_P;704;62;1;13
270;INF1035_T;704;62;0;18
270;INF1035_T;704;62;0;19
270;INF1056_OT;415;69;4;5
270;INF1056_OT;415;69;4;6
270;INF1056_OT;415;69;4;7
270;INF1056_OT;415;69;4;8
270;INF1056_TP;415;69;2;17
270;INF1056_TP;415;69;2;18
270;INF1056_TP;415;69;2;19
270;INF1056_TP;415;69;2;20
270;INF1056_TP;415;69;2;21
270;INF1056_TP;415;69;2;22
270;INF1058_OT;514;71;0;14
270;INF1058_OT;514;71;0;15
270;MF1045_TP;276;87;0;10
270;MF1045_TP;276;87;0;11
270;MF1045_TP;276;87;0;12
270;MF1045_TP;276;87;0;13
270;MF1045_TP;276;87;1;14
270;MF1045_TP;276;87;1;15
270;MF1045_TP;276;87;1;16
270;MF1045_TP;276;87;1;17
270;INF1017_OT;256;64,90;4;1
270;INF1017_OT;256;64,90;4;2
270;INF1017_TP;256;64,90;4;3
270;INF1017_TP;256;64,90;4;4
271,272;INF1016_OT;382;65;3;7
271,272;INF1016_OT;382;65;3;8
271,272;INF1016_P;382;65;2;4
271,272;INF1016_P;382;65;2;5
271,272;INF1016_P;382;65;2;6
271,272;INF1016_P;382;65;2;7
271,272;INF1016_T;382;65;3;5
271,272;INF1016_T;382;65;3;6
271;UINF1071_OT;491;67;4;5
271;UINF1071_OT;491;67;4;6
271;UINF1071_OT;491;67;4;7
271;UINF1071_OT;491;67;4;8
271;INF1012_OT;329;66;4;1
271;INF1012_OT;329;66;4;2
271;INF1012_OT;329;66;4;3
271;INF1012_OT;329;66;4;4
272;INF1012_OT;329;66;4;5
272;INF1012_OT;329;66;4;6
272;INF1012_OT;329;66;4;7
272;INF1012_OT;329;66;4;8
272;UINF1071_OT;491;67;4;1
272;UINF1071_OT;491;67;4;2
272;UINF1071_OT;491;67;4;3
272;UINF1071_OT;491;67;4;4
272;INF1060_P;278;68;3;1
272;INF1060_P;278;68;3;2
272;INF1060_P;278;68;3;3
272;INF1060_P;278;68;3;4
326;CSH1005_OT;384;83;1;3
326;CSH1005_OT;384;83;1;4
326;CSH1005_TP;384;88;4;5
326;CSH1005_TP;384;88;4;6
326;CSH1005_TP;384;88;4;7
326;CSH1005_TP;384;88;4;8
326;CSH1005_TP;384;83;1;1
326;CSH1005_TP;384;83;1;2
326;CSH1054_OT;372;60;1;15
326;CSH1054_OT;372;60;1;16
326;CSH1054_TP;372;58;3;12
326;CSH1054_TP;372;58;3;13
326;CSH1054_TP;372;58;3;14
326;CSH1054_TP;372;58;3;15
326;CSH1054_TP;372;60;1;11
326;CSH1054_TP;372;60;1;12
326;CSH1054_TP;372;60;1;13
326;CSH1054_TP;372;60;1;14
326;CSH1058_OT;895;83;1;7
326;CSH1058_OT;895;83;1;8
326;CSH1058_TP;895;83;1;5
326;CSH1058_TP;895;83;1;6
326;CSH1058_TP;895;83;0;6
326;CSH1058_TP;895;83;0;7
326;CSH1058_TP;895;83;0;8
326;CSH1058_TP;895;83;0;9
326;MF1023_OT;195;83;0;2
326;MF1023_OT;195;83;0;3
326;MF1023_OT;195;83;0;4
326;MF1023_OT;195;83;0;5
326;MF1023_TP;195;88;3;6
326;MF1023_TP;195;88;3;7
326;MF1023_TP;195;88;3;8
326;MF1023_TP;195;88;3;9
326;MF1023_TP;195;54;2;5
326;MF1023_TP;195;54;2;6
326;MF1023_TP;195;54;2;7
326;MF1023_TP;195;54;2;8
327;CSH1039_OT;384;89;3;12
327;CSH1057_OT;373;88;4;3
327;CSH1057_OT;373;88;4;4
327;CSH1057_TP;373;88;4;1
327;CSH1057_TP;373;88;4;2
327;CSH1057_TP;373;89;3;15
327;CSH1057_TP;373;89;3;16
327;CSH1057_TP;373;89;3;17
327;CSH1057_TP;373;89;3;18
327;GRH1048_OT;562;56;1;7
327;GRH1048_OT;562;56;1;8
327;GRH1171_OT;488;89;2;11
327;GRH1171_OT;488;89;2;12
327;GRH1171_OT;488;89;2;13
327;GRH1171_OT;488;89;2;14
327;GRH1171_TP;488;89;1;11
327;GRH1171_TP;488;89;1;12
327;GRH1171_TP;488;89;1;13
327;GRH1171_TP;488;89;1;14
327;CSH1039_TP;384;89;2;15
327;CSH1039_TP;384;89;2;16
327;CSH1039_TP;384;89;2;17
327;CSH1039_TP;384;89;3;13
327;CSH1039_TP;384;89;3;14
328;G1182_OT;104;59;2;13
328;G1182_OT;104;59;2;14
328;G1182_TP;104;57;4;6
328;G1182_TP;104;57;4;7
328;G1182_TP;104;57;4;8
328;G1182_TP;104;57;4;9
328;G1182_TP;104;59;2;11
328;G1182_TP;104;59;2;12
328;G1183_OT;447;55;3;18
328;G1183_OT;447;55;3;19
328;G1183_TP;447;55;3;16
328;G1183_TP;447;55;3;17
328;G1183_TP;447;83;4;2
328;G1183_TP;447;83;4;3
328;G1183_TP;447;83;4;4
328;G1183_TP;447;83;4;5
328;G1185_OT;296;79;0;17
328;G1185_TP;296;59;2;15
328;G1185_TP;296;59;2;16
328;G1185_TP;296;59;2;17
328;G1185_TP;296;59;2;18
328;G1185_TP;296;79;0;14
328;G1185_TP;296;79;0;15
328;G1185_TP;296;79;0;16
328;G1186_OT;485;56;1;13
328;G1186_OT;485;56;1;14
328;G1186_TP;485;55;3;12
328;G1186_TP;485;55;3;13
328;G1186_TP;485;55;3;14
328;G1186_TP;485;55;3;15
328;G1186_TP;485;56;1;11
328;G1186_TP;485;56;1;12
317;G1167_TP;268;60;0;12
317;G1167_TP;268;60;0;13
317;G1167_TP;268;60;0;14
317;INF1111_OT;514;71;1;5
317;INF1111_OT;514;71;1;6
317;INF1111_OT;514;71;1;7
317;INF1111_OT;514;71;1;8
317;INF1111_P;514;71;2;5
317;INF1111_P;514;71;2;6
317;INF1111_P;514;71;2;7
317;INF1111_P;514;71;2;8
317;MF1021_OT;506;84;3;16
317;MF1021_OT;506;84;3;17
317;MF1021_OT;506;84;3;18
317;MF1021_OT;506;84;3;19
317;MF1021_OT;506;84;1;1
317;MF1021_OT;506;84;1;2
317;MF1021_OT;506;84;1;3
317;MF1021_OT;506;84;1;4
317;MF1021_TP;506;84;2;1
317;MF1021_TP;506;84;2;2
317;MF1021_TP;506;84;2;3
317;MF1021_TP;506;84;2;4
317;MF1021_TP;506;84;3;2
317;MF1021_TP;506;84;3;3
317;MF1021_TP;506;84;3;4
317;MF1021_TP;506;84;3;5
317;MF1021_TP;506;84;2;11
317;MF1021_TP;506;84;2;12
317;MF1021_TP;506;84;2;13
317;MF1021_TP;506;84;2;14
317;MF1021_TP;506;84;1;11
317;MF1021_TP;506;84;1;12
317;MF1021_TP;506;84;1;13
317;MF1021_TP;506;84;1;14
318;CA1054_OT;456;90;0;10
318;CA1054_OT;456;90;0;11
318;CA1054_OT;456;90;0;12
318;CA1054_OT;456;90;0;13
318;CA1054_TP;456;88;1;11
318;CA1054_TP;456;88;1;12
318;CA1054_TP;456;88;1;13
318;CA1054_TP;456;88;1;14
318;CA1054_TP;456;88;3;16
318;CA1054_TP;456;88;3;17
318;CA1054_TP;456;88;3;18
318;CA1054_TP;456;88;3;19
318;G1168_OT;485;89;4;7
318;G1168_OT;485;89;4;8
318;G1168_TP;485;89;4;5
318;G1168_TP;485;89;4;6
318;G1168_TP;485;90;0;14
318;G1168_TP;485;90;0;15
318;G1168_TP;485;90;0;16
318;G1168_TP;485;90;0;17
318;G1169_OT;383;88;1;15
318;G1169_OT;383;88;1;16
318;G1169_OT;383;88;1;17
318;G1169_OT;383;88;1;18
318;G1169_TP;383;88;2;15
318;G1169_TP;383;88;2;16
318;G1169_TP;383;88;2;17
318;G1169_TP;383;88;2;18
318;G1169_TP;383;88;2;19
318;G1169_TP;383;88;2;20
318;MF1048_OT;276;88;2;11
318;MF1048_OT;276;88;2;12
318;MF1048_OT;276;88;2;13
318;MF1048_OT;276;88;2;14
318;MF1048_TP;276;88;3;10
318;MF1048_TP;276;88;3;11
318;MF1048_TP;276;88;3;12
318;MF1048_TP;276;88;3;13
318;MF1048_TP;276;88;3;14
318;MF1048_TP;276;88;3;15
316;G1171_OT;28;54;2;1
316;G1171_OT;28;54;2;2
316;G1171_OT;28;54;2;3
316;G1171_OT;28;54;2;4
316;G1171_TP;28;54;4;1
316;G1171_TP;28;54;4;2
316;G1171_TP;28;54;4;3
316;G1171_TP;28;54;4;4
316;G1172_TP;674;60;3;6
316;G1172_TP;674;60;3;7
316;G1172_TP;674;60;3;8
316;G1172_TP;674;60;3;9
316;UGE1018_OT;376;56;0;6
316;UGE1018_OT;376;56;0;7
316;UGE1018_OT;376;56;0;8
316;UGE1018_OT;376;56;0;9
316;UGE1018_TP;376;58;1;5
316;UGE1018_TP;376;58;1;6
316;UGE1018_TP;376;58;1;7
316;UGE1018_TP;376;58;1;8
332;G1055_OT;471;55;4;2
332;G1055_OT;471;55;4;3
332;G1055_OT;471;55;4;4
332;G1055_OT;471;55;4;5
332;G1055_TP;471;59;1;12
332;G1055_TP;471;59;1;13
332;G1055_TP;471;59;1;14
332;G1055_TP;471;59;1;15
332;G1055_TP;471;59;1;16
332;G1055_TP;471;59;1;17
332;G1133_OT;383;87;2;11
332;G1133_OT;383;87;2;12
332;G1133_OT;383;87;2;13
332;G1133_OT;383;87;2;14
332;G1133_P;383;55;4;6
332;G1133_P;383;55;4;7
332;G1133_P;383;55;4;8
332;G1133_P;383;55;4;9
332;G1133_TP;383;82;0;5
332;G1133_TP;383;82;0;6
332;G1133_TP;383;82;0;7
332;G1133_TP;383;82;0;8
333;G1059_OT;471;55;3;6
333;G1059_OT;471;55;3;7
333;G1059_P;471;55;3;8
333;G1059_P;471;55;3;9
333;G1059_TP;471;54;4;6
333;G1059_TP;471;54;4;7
333;G1059_TP;471;54;4;8
333;G1059_TP;471;54;4;9
333;G1090_OT;104;57;3;2
333;G1090_OT;104;57;3;3
333;G1090_OT;104;57;3;4
333;G1090_OT;104;57;3;5
333;G1090_TP;104;57;4;1
333;G1090_TP;104;57;4;2
333;G1090_TP;104;57;4;3
333;G1090_TP;104;57;4;4
333;G1137_OT;471;60;2;5
333;G1137_OT;471;60;2;6
333;G1137_OT;471;60;2;7
333;G1137_OT;471;60;2;8
333;G1137_TP;471;55;1;5
333;G1137_TP;471;55;1;6
333;G1137_TP;471;55;1;7
333;G1137_TP;471;55;1;8
333;INF1018_OT;704;62;0;5
333;INF1018_OT;704;62;0;6
333;INF1018_OT;704;62;0;7
333;INF1018_OT;704;62;0;8
451;UET1081_TP;426;82;3;14
451;UET1081_TP;426;82;3;15
451;UET1081_TP;426;82;3;16
451;UET1081_TP;279;82;3;17
451;UET1081_TP;279;82;3;18
451;UET1081_TP;279;82;3;19
451;UET1084_TP;426;82;0;10
451;UET1084_TP;426;82;0;11
451;UET1084_TP;426;82;0;12
451;UET1084_TP;426;82;0;13
451;UET1084_TP;426;82;0;14
451;UET1084_TP;279;82;0;15
451;UET1084_TP;279;82;0;16
451;UET1084_TP;279;82;0;17
451;UET1084_TP;279;82;0;18
451;UET1084_TP;279;82;0;19
451;UET1086_TP;323;82;1;11
451;UET1086_TP;323;82;1;12
451;UET1086_TP;323;82;1;13
451;UET1086_TP;323;82;1;14
451;UET1086_TP;323;82;3;10
451;UET1086_TP;323;82;3;11
451;UET1086_TP;323;82;3;12
451;UET1086_TP;323;82;3;13
451;UET1095_TP;279;80;2;16
451;UET1095_TP;279;80;2;17
451;UET1095_TP;279;80;2;18
451;UET1095_TP;279;80;2;19
451;UET1095_TP;279;82;1;15
451;UET1095_TP;279;82;1;16
451;UET1095_TP;279;82;1;17
451;UET1095_TP;279;82;1;18
443;UCSC1001_TP;612;82;1;1
443;UCSC1001_TP;612;82;1;2
443;UCSC1001_TP;612;82;1;3
443;UCSC1001_TP;612;82;1;4
