classids;subjectid;periodsperweek;teacherids
312;EC1150_TP;4.0;464
312;UET1143_P;4.0;464
312;UET1143_TP;4.0;464
312;UET1144_P;2.0;427
312;UET1144_T;2.0;427
312;UET1144_TP;4.0;427
312;UET1145_P;4.0;433
312;UET1145_TC;4.0;433
312;UET1145_TP;2.0;433
312;UET1146_P;4.0;693
312;UET1146_T;2.0;693
312;UET1146_TP;4.0;693
313;EC1154_P;2.0;465
313;EC1154_T;3.0;465
313;EC1154_TP;5.0;465
313;UET1134_T;2.0;432
313;UET1134_TC;4.0;432
313;UET1134_TP;4.0;432
313;UET1135_P;6.0;432
313;UET1135_TP;3.0;432
313;UET1136_P;3.0;464
313;UET1136_T;2.0;464
313;UET1136_TC;2.0;464
313;UET1136_TP;4.0;464
300;UET1032_OT;2.0;938
300;UET1032_TP;4.0;938
300;UET1032_TP;2.0;938
309;EC1165_OT;2.0;548
309;EC1165_T;4.0;548
309;EC1165_TP;4.0;548
309;EC1169_TP;1.0;370
309;EC1169_TP;5.0;370
294,331;G1019_OT;3.0;268
294,331;G1019_TP;3.0;268
328;G1184_OT;2.0;358
328;G1184_TP;2.0;358
328;G1184_TP;4.0;358
327;G1179_TP;4.0;363
295;G1093_OT;4.0;345
295;G1093_TP;4.0;345
317,*39;CA1052_OT;4.0;669
317,*39;CA1052_TP;8.0;669
296,*40;CA1011_OT;2.0;345
296,*40;CA1011_TP;4.0;345
*39,*40;*2383;8.0;253
331;M1045_OT;4.0;372
331;M1045_TP;4.0;372
294;CA1001_TP;8.0;669
294;CA1001_OT;4.0;669
310;EC1183_TP;6.0;92
308;UET1105_OT;2.0;548
303;UINF1063_OT;2.0;404
303;UINF1063_TP;4.0;404
311;INF1063_L;4.0;404
311;INF1063_OT;2.0;404
311;INF1063_TP;2.0;404
268;INF1052_OT;4.0;317
267;INF1052_OT;4.0;317
455;UINF1046_TP;12.0;2
455;UINF1047_TP;12.0;2
435;UINF1021_TP;12.0;2
316,*39;UGE1021_OT;4.0;345
316,*39;UGE1021_TP;4.0;345
296;UGE1037_OT;2.0;456
296;UGE1037_TP;2.0;456
296;UGE1037_TP;4.0;456
295;UGE1044_OT;4.0;303
295;UGE1044_TP;4.0;303
316;CA1058_OT;4.0;559
316;CA1058_TP;4.0;559
317,*39;CSH1045_OT;4.0;358
317,*39;CSH1045_TP;4.0;358
294,*40;C1045_OT;4.0;376
294,*40;C1045_TP;4.0;376
331;G1067_TP;4.0;386
316,*39;CSH1006_OT;4.0;358
316,*39;CSH1006_TP;4.0;358
331;G1067_OT;5.0;386
331;G1067_OT;1.0;386
332;G1003_OT;2.0;268
332;G1003_TP;4.0;268
332;G1003_TP;2.0;268
333;G1138_OT;4.0;383
333;G1138_P;2.0;383
333;G1138_TP;4.0;376
333;G1138_TP;2.0;376
333;G1090_P;2.0;104
332;M1070_OT;4.0;704
332;M1070_P;4.0;704
294;INF1070_P;4.0;681
294;INF1070_OT;4.0;681
303;UET1130_OT;2.0;95
327;G1179_TP;2.0;363
327;G1179_OT;2.0;363
332;G1008_OT;4.0;488
332;G1008_TP;4.0;488
316;G1172_OT;4.0;674
451;UET1085_TP;6.0;426
451;UET1083_TP;6.0;257
435;UINF1022_TP;6.0;415
455,435;UINF1049_TP;6.0;823
435;UINF1031_TP;6.0;805
435;UINF1035_TP;6.0;317
435;UINF1018_TP;6.0;491
435;UINF1048_TP;6.0;404
455;UINF1048_TP;6.0;404
443;UGE1089_TP;8.0;363
443;UINF1011_TP;8.0;466
310;EC1174_TP;4.0;501
313;EC1152_P;4.0;501
313;EC1152_TP;4.0;501
267;MF1008_TP;4.0;244
267;MF1008_P;4.0;244
267;MF1008_OT;2.0;244
268;MF1008_TP;4.0;244
268;MF1008_P;4.0;244
268;MF1008_OT;2.0;244
302;UET1004_OT;4.0;1103
302;UET1004_TP;4.0;1103
300;UET1027_OT;4.0;1103
300;UET1027_TP;4.0;1103
300;UET1029_OT;2.0;463
301;UET1015_TP;4.0;463
301;UET1015_OT;4.0;463
295;CA1032_OT;4.0;674
295;CA1032_TP;8.0;674
301;UET1020_OT;4.0;839
301;UET1020_TP;6.0;839
302;UET1007_OT;2.0;839
302;UET1007_TP;4.0;839
317;G1167_OT;3.0;268
268;UINF1066_OT;4.0;389
267;UINF1066_OT;4.0;389
268;UINF1066_TP;4.0;389
267;UINF1066_TP;4.0;389
268;UINF1066_P;4.0;389
267;UINF1066_P;4.0;389
271,272;INF1020_T;2.0;457
271,272;INF1020_OT;2.0;457
434,430;UINF1020_TP;4.0;389
434,430;UINF1020_TP;6.0;389
434;UINF1019_TP;6.0;514
430;ULC1111_TP;6.0;635
442;UGE1092_TP;4.0;372
442;UGE1088_TP;6.0;511
442;UGE1101_TP;8.0;559
269,270;INF1058_S;4.0;514
440;ULC1157_TP;8.0;739
442;ulc1111-1_TP;6.0;305
442;ulc1112-2_TP;6.0;304
430;UINF1008_TP;8.0;382
271,272;INF1020_TP;2.0;457
430;UINF1051_TP;6.0;415
434;ULC1111_TP;6.0;635
440;UCEE1009_TP;5.0;252
440;ulc1111-1_TP;5.0;305
440;ulc1112-1_TP;5.0;678
440;ULC1155_TP;5.0;739
440;ULC1160_TP;5.0;304
442;UGE1103_TP;6.0;405
267;INF1052_TP;6.0;278
268;INF1052_TP;6.0;278
270;INF1017_TP;4.0;256
269;INF1017_TP;2.0;256
269;INF1017_OT;2.0;256
300;UET1029_TP;2.0;463
300;UET1029_T;4.0;463
434;UINF1056_TP;8.0;805
434,430;ULC1112_TP;6.0;772
295,318,*39,*40;CSH1015_OT;2.0;1126
295,318,*39,*40;CSH1015_TP;2.0;1126
295,318,*39,*40;CSH1015_TP;4.0;1126
295,*40;UGE1042_OT;2.0;1126
295,*40;UGE1042_TP;4.0;1126
295,*40;UGE1042_TP;2.0;1126
270;INF1007_TP;4.0;256
270;INF1007_TP;4.0;256
270;INF1007_TP;4.0;256
269;INF1007_TP;4.0;256
296,*40;UGE1040_OT;4.0;875
296,*40;UGE1040_TP;1.0;875
296,*40;UGE1040_TP;5.0;875
440;UENF1009_TP;4.0;99995
455;UCEE1016_TP;6.0;563
296,*40;UGE1038_TP;5.0;274
296,*40;UGE1038_OT;4.0;274
296,*40;UGE1038_TP;1.0;274
326;CA1060_TP;8.0;274
326;CA1060_OT;4.0;274
310;EC1182_TP;3.0;92
331;CA1048_TP;8.0;274
455;UINF1050_TP;12.0;1107
309;EC1168_OT;1.0;290
309;EC1168_TP;2.0;290
309;EC1168_L;1.0;290
303;UET1128_L;4.0;375
303;UET1127_OT;2.0;375
303;UET1127_T;1.0;375
303;UET1127_T;3.0;375
303;UET1128_T;2.0;375
303;UET1128_TP;2.0;375
434,430;UINF1024_TP;8.0;1128
442;UINF1010_TP;4.0;1128
